scenario,algorithm,mean_fitness,std_fitness,mean_cost,mean_response_time,mean_resource_utilization,mean_jains_fairness_index
low_load,GA,3307.909806,806.960606,2251.864758,856.045048,0.694213,0.607056
low_load,ACO,3297.588586,804.347144,2261.219883,849.702036,0.694213,0.616729
low_load,Hybrid,3297.590001,804.187522,2261.311054,849.612281,0.694213,0.602762
low_load,DE+GA,3300.456865,801.275497,2268.368565,848.754967,0.694213,0.604741
medium_load,GA,13309.530341,1619.624078,9545.896961,1910.300047,1.303159,0.525091
medium_load,ACO,13221.299011,1623.588307,9480.065466,1957.900212,1.303159,0.539865
medium_load,Hybrid,13206.634351,1615.287060,9474.598173,1955.369511,1.303159,0.539382
medium_load,DE+GA,13372.075307,1659.774182,9566.073268,1976.002039,1.303159,0.536901
high_load,GA,51589.589288,5282.691676,36078.179004,6521.410284,2.225154,0.334625
high_load,ACO,49270.135041,5842.332958,30568.481659,8494.986716,2.225154,0.214074
high_load,Hybrid,49254.542052,5826.051450,30452.445903,8605.429482,2.225154,0.217365
high_load,DE+GA,52737.552986,5598.949008,37348.165704,6449.387282,2.225154,0.351190
